Path,Performance,Accessibility,SEO,Best Practices
/,81,63,100,96
/item/1079%3B6%3Bkt-2,96,75,100,96
/item/211%3B6%3Bkt-2,95,75,100,96
/item/30395%3B11,97,75,100,96
/item/30543%3B11,96,75,100,96
/item/31014%3B11,96,75,100,96
/item/31249%3B11,96,75,100,96
/item/31449%3B11,95,75,100,96
/item/356%3B6%3Bkt-1,94,75,100,96
/listings,71,83,100,96
/sf/greenstore,96,81,100,96
/sf/hadanbot,88,83,100,96
/sf/johnny-black,87,86,100,96
/sf/misspauling,97,78,100,96
/sf/pikachu,88,86,100,96
/sf/polishguy,89,78,100,96
/sf/ryzex,90,78,100,96
/sf/shotfire,90,78,100,96
/store?id=76561198000091310,96,78,100,96
/store?id=76561198021413819,96,78,100,96
/store?id=76561198036824799,94,78,100,96
/store?id=76561198050194207,96,78,100,96
/store?id=76561198057153972,95,81,100,96
/store?id=76561198083901668,82,81,100,96
/store?id=76561198274895819,90,86,100,96
/store?id=76561198393311128,96,78,100,96
/store?id=76561198405497731,97,78,100,96
/store?id=76561198414645935,96,78,100,96
/store?id=76561198753237328,95,78,100,96
/store?id=76561198756073612,96,78,100,96
/store?id=76561198975948937,97,78,100,96
/store?id=76561199006679800,96,78,100,96
/store?id=76561199013715460,91,86,100,96
/store?id=76561199095539879,94,83,100,96
/store?id=76561199107036822,96,78,100,96
/store?id=76561199111206889,94,81,100,96
